Platform,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,User_Count,log_Critic_count,log_Critic_Score,log_Critic_count_is_bad,log_Critic_Score_is_bad,User_Count_is_bad,Small_Publisher,Medium_Publisher,Big_Publisher
PS2,2001.0,Action,2.45,2.01,0.87,0.72,6.05,1026.0,3.7376696182833684,4.564348191467836,0,0,0,0,0,0
GEN,1992.0,Platform,4.47,1.2,0.16,0.19,6.03,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS,1998.0,Action,3.18,1.83,0.78,0.24,6.03,918.0,2.995732273553991,4.543294782270004,0,0,0,0,0,0
PS3,2008.0,Action,2.63,1.71,0.83,0.82,5.99,3558.0,4.406719247264253,4.543294782270004,0,0,0,0,0,0
PS2,2006.0,Role-Playing,1.88,0.0,2.33,1.74,5.95,972.0,4.1588830833596715,4.5217885770490405,0,0,0,0,0,1
PS3,2013.0,Action,2.41,2.18,0.28,0.99,5.87,8003.0,4.584967478670572,4.553876891600541,0,0,0,1,0,0
PS3,2008.0,Platform,2.8,1.98,0.17,0.87,5.82,5311.0,4.442651256490317,4.553876891600541,0,0,0,0,0,0
PS,1998.0,Action,1.88,1.47,2.02,0.45,5.82,364.0,2.5649493574615367,4.48863636973214,0,0,0,0,1,0
DS,2009.0,Role-Playing,0.63,0.67,4.35,0.15,5.78,197.0,4.174387269895637,4.465908118654584,0,0,0,0,0,0
PS,1996.0,Fighting,2.26,1.89,1.36,0.23,5.74,102.0,2.0794415416798357,4.48863636973214,0,0,0,0,0,0
PS4,2014.0,Shooter,2.49,2.07,0.16,0.92,5.64,5380.0,4.553876891600541,4.330733340286331,0,0,0,0,0,0
Wii,2007.0,Action,3.57,1.55,0.0,0.51,5.64,62.0,2.833213344056216,4.382026634673881,0,0,0,0,1,0
DS,2006.0,Simulation,3.07,1.91,0.07,0.57,5.63,21.0,3.5553480614894135,4.204692619390966,0,0,0,0,0,1
NES,1988.0,Puzzle,2.97,0.69,1.81,0.11,5.58,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
N64,1999.0,Fighting,2.95,0.6,1.97,0.04,5.55,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS3,2009.0,Action,2.54,1.93,0.21,0.86,5.55,1202.0,4.248495242049359,4.51085950651685,0,0,0,0,0,0
X360,2007.0,Adventure,3.28,1.64,0.07,0.56,5.54,1074.0,4.343805421853684,4.394449154672439,0,0,0,0,0,0
X360,2009.0,Racing,2.99,1.9,0.1,0.5,5.49,516.0,4.499809670330265,4.5217885770490405,0,0,0,0,0,1
GBA,2001.0,Platform,3.14,1.24,0.91,0.2,5.49,41.0,2.9444389791664403,4.430816798843313,0,0,0,0,0,0
PSP,2008.0,Role-Playing,0.47,0.55,4.13,0.34,5.48,124.0,3.871201010907891,4.394449154672439,0,0,0,0,0,0
PS3,2011.0,Action,2.71,1.85,0.11,0.81,5.48,2162.0,3.7376696182833684,4.564348191467836,0,0,0,0,0,1
XOne,2014.0,Action,2.81,2.19,0.0,0.47,5.48,764.0,2.6390573296152584,4.574710978503383,0,0,0,0,0,0
GBA,2001.0,Racing,2.62,1.64,0.99,0.23,5.47,108.0,3.1780538303479458,4.532599493153256,0,0,0,0,0,0
GBA,2001.0,Platform,3.21,1.11,0.95,0.2,5.46,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
N64,1999.0,Strategy,3.18,1.24,0.94,0.09,5.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS2,2001.0,Platform,2.07,2.29,0.24,0.82,5.42,156.0,3.091042453358316,4.189654742026425,0,0,0,1,0,0
PS3,2008.0,Shooter,2.73,1.83,0.0,0.83,5.39,409.0,3.8066624897703196,4.442651256490317,0,0,0,0,0,0
PS4,2016.0,Shooter,1.85,2.5,0.19,0.85,5.38,7064.0,4.727387818712341,4.532599493153256,0,0,0,0,0,0
GB,1989.0,Puzzle,2.18,0.96,2.0,0.2,5.34,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS3,2009.0,Role-Playing,1.74,1.21,1.87,0.51,5.33,2483.0,4.418840607796598,4.418840607796598,0,0,0,0,0,1
GB,1999.0,Misc,3.02,1.12,1.01,0.16,5.31,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS,2000.0,Role-Playing,1.62,0.77,2.78,0.14,5.3,779.0,3.091042453358316,4.543294782270004,0,0,0,0,1,0
X360,2012.0,Action,3.13,1.69,0.03,0.44,5.29,1196.0,4.110873864173311,4.430816798843313,0,0,0,0,0,0
PS2,2003.0,Role-Playing,1.92,1.08,2.11,0.17,5.29,400.0,3.8066624897703196,4.442651256490317,0,0,0,0,0,0
N64,1999.0,Platform,3.33,0.79,1.09,0.06,5.27,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
XOne,2014.0,Shooter,3.22,1.55,0.01,0.48,5.27,898.0,3.970291913552122,4.394449154672439,0,0,0,0,0,0
PS3,2014.0,Misc,2.03,2.37,0.0,0.87,5.26,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
X360,2009.0,Action,3.11,1.55,0.08,0.51,5.26,1305.0,4.406719247264253,4.499809670330265,0,0,0,0,0,0
PS,1997.0,Action,2.3,2.46,0.2,0.28,5.24,162.22990777338603,2.5649493574615367,4.442651256490317,0,0,1,0,0,1
3DS,2013.0,Simulation,0.97,2.11,1.9,0.24,5.23,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
WiiU,2012.0,Platform,2.3,1.34,1.27,0.32,5.22,733.0,4.248495242049359,4.430816798843313,0,0,0,0,0,0
PS2,2004.0,Role-Playing,0.65,0.75,3.61,0.2,5.21,245.0,4.143134726391533,4.48863636973214,0,0,0,0,0,1
